Feature,Importance
StockOptionLevel,0.07126302312158463
MonthlyIncome,0.05402296933295273
JobSatisfaction,0.05101009716454732
MaritalStatus_Married,0.047515967703782774
EnvironmentSatisfaction,0.04221728228137959
YearsWithCurrManager,0.04214833492192872
Age,0.04050027322849821
JobInvolvement,0.037431163025067216
JobLevel,0.03737656468306162
MonthlyRate,0.037147175015355104
Department_Research & Development,0.03345154721958141
TotalWorkingYears,0.03270773973616969
DailyRate,0.03250293358197407
HourlyRate,0.031733954416849425
YearsAtCompany,0.031189270270166637
YearsInCurrentRole,0.031009995392922006
DistanceFromHome,0.029030798835029844
WorkLifeBalance,0.02876186608375797
RelationshipSatisfaction,0.024210649757971013
EducationField_Medical,0.024061399793427637
NumCompaniesWorked,0.023441503166866943
Education,0.023365661273666752
TrainingTimesLastYear,0.02189113600943311
PercentSalaryHike,0.020186705453539577
YearsSinceLastPromotion,0.017386410726340118
JobRole_Research Scientist,0.01730220817301266
BusinessTravel_Travel_Rarely,0.015341836084267457
EducationField_Life Sciences,0.013512122353768665
MaritalStatus_Single,0.011224067481841177
OverTime_Yes,0.00931028046400915
Department_Sales,0.009308252471065023
Gender_Male,0.00835500981969613
JobRole_Sales Executive,0.006661122936196914
JobRole_Manufacturing Director,0.006150885677694595
EducationField_Technical Degree,0.005322284790242223
EducationField_Marketing,0.0044857505525049135
JobRole_Laboratory Technician,0.0044081276946907446
PerformanceRating,0.004204350132076093
EducationField_Other,0.004142965075869766
BusinessTravel_Travel_Frequently,0.003989321987806735
JobRole_Manager,0.0035215679919911582
JobRole_Human Resources,0.00304384929988936
JobRole_Sales Representative,0.0022659461130205196
JobRole_Research Director,0.001885628704502688
