Feature,Variance
MonthlyRate,50484176.77473467
MonthlyIncome,18329524.629131276
DailyRate,145777.6211887789
HourlyRate,355.9406390121261
Age,80.81537568578054
DistanceFromHome,57.293875546334625
TotalWorkingYears,54.785327409712636
YearsAtCompany,31.094014323306606
PercentSalaryHike,12.11126753750889
YearsInCurrentRole,11.158013045138278
YearsWithCurrManager,11.109096863959463
YearsSinceLastPromotion,8.517516926468272
NumCompaniesWorked,5.4738968594313295
TrainingTimesLastYear,1.417637899646291
JobSatisfaction,1.1558243619706845
EnvironmentSatisfaction,1.1318736280530164
RelationshipSatisfaction,1.109759617907941
JobLevel,1.0469021913074261
Education,0.9477083018165016
StockOptionLevel,0.6195854082986262
WorkLifeBalance,0.5653669382517086
JobInvolvement,0.5517045846313122
PerformanceRating,0.09439921457482381
