stage,trial_index,trial_id,rank_accuracy,mean_fit_time,std_fit_time,mean_cv_accuracy,std_cv_accuracy,mean_cv_f1,std_cv_f1,subsample,scale_pos_weight,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree,is_selected_model,selection_reason,cumulative_mean_fit_time,cumulative_best_cv_accuracy
stage1,0,stage1_001,3,0.10173659324645996,0.0058008179408106,0.8606382978723403,0.02720576989903069,0.5580348145219339,0.056373015176426546,0.9,5.1842,2.0,2.0,350,7,4,0.05,0.4,0.8,False,,0.10173659324645996,0.8606382978723403
stage1,1,stage1_002,4,0.1669398784637451,0.01940336681687069,0.8595744680851064,0.019207946899221066,0.4838876554912348,0.02916107800895596,0.8,5.7026,2.0,0.0,600,2,4,0.08,0.1,0.7,False,,0.2686764717102051,0.8606382978723403
stage1,2,stage1_003,2,0.24393610954284667,0.023646173064158896,0.8627659574468085,0.025487550107895593,0.5389314388189763,0.05184068980786551,0.6,4.6658,12.0,0.5,800,2,4,0.05,0.4,0.9,False,,0.5126125812530518,0.8627659574468085
stage1,3,stage1_004,28,0.1743992805480957,0.006595581319305487,0.8148936170212766,0.040843306000962705,0.5493103040894934,0.06060686828258929,0.9,6.4803,12.0,0.05,1000,7,2,0.02,0.4,0.9,False,,0.6870118618011475,0.8627659574468085
stage1,4,stage1_005,10,0.14661269187927245,0.02176900755080514,0.8563829787234042,0.01873065623580745,0.5296653267071115,0.03748249909174731,0.7,5.1842,1.0,1.0,600,7,4,0.08,0.0,1.0,False,,0.8336245536804199,0.8627659574468085
stage1,5,stage1_006,1,0.2979311943054199,0.01492837135633394,0.8638297872340426,0.017350538755638384,0.4969122807017544,0.03698419458020716,0.9,3.8882,2.0,0.1,600,3,6,0.01,0.1,0.9,False,,1.1315557479858398,0.8638297872340426
stage1,6,stage1_007,14,0.06335315704345704,0.00672968186760669,0.8542553191489363,0.015992868487630756,0.5254008957700401,0.044966038437477186,0.9,4.6658,2.0,0.01,250,10,3,0.1,0.2,1.0,False,,1.194908905029297,0.8638297872340426
stage1,7,stage1_008,11,0.15810046195983887,0.013309629844980334,0.8553191489361703,0.020015838002368915,0.4896771338359394,0.030530982207378526,1.0,5.7026,1.0,0.0,450,7,6,0.03,0.4,0.6,False,,1.3530093669891359,0.8638297872340426
stage1,8,stage1_009,15,0.2560148239135742,0.014751930516860962,0.8542553191489362,0.027038861759869838,0.5188526321891155,0.05094852472367697,0.8,5.1842,5.0,1.0,1000,1,4,0.08,0.4,0.8,False,,1.60902419090271,0.8638297872340426
stage1,9,stage1_010,18,0.10506992340087891,0.011078746167824087,0.851063829787234,0.026058401518969977,0.5124417177393731,0.05178974344567951,0.6,5.1842,12.0,0.1,250,5,5,0.08,0.4,0.8,False,,1.714094114303589,0.8638297872340426
stage1,10,stage1_011,8,0.16709766387939454,0.008196456269280837,0.8563829787234043,0.02330734287256025,0.5416738463793737,0.035011587103983804,0.6,4.6658,1.0,0.05,800,7,3,0.03,0.8,0.5,False,,1.8811917781829837,0.8638297872340426
stage1,11,stage1_012,13,0.3787642002105713,0.023615199460344356,0.8553191489361701,0.024583446826151795,0.49842130750605323,0.04739389284375823,0.8,5.7026,3.0,2.0,800,1,6,0.02,0.2,0.7,False,,2.2599559783935548,0.8638297872340426
stage1,12,stage1_013,25,0.11077365875244141,0.02007436082726543,0.8457446808510639,0.0341421415657047,0.567124084716539,0.05944062938397224,0.8,4.6658,3.0,0.0,600,5,2,0.03,0.1,0.8,False,,2.3707296371459963,0.8638297872340426
stage1,13,stage1_014,8,0.1464695453643799,0.010066714170427447,0.8563829787234043,0.021276595744680864,0.4991747715885647,0.0479992955979361,0.9,6.4803,3.0,0.0,800,5,6,0.1,0.4,0.5,False,,2.5171991825103763,0.8638297872340426
stage1,14,stage1_015,4,0.17241439819335938,0.0269621875329877,0.8595744680851064,0.018609420940995634,0.48345326370112474,0.04395025749473771,1.0,5.7026,3.0,0.1,1000,3,5,0.1,0.2,0.5,False,,2.689613580703736,0.8638297872340426
stage1,15,stage1_016,22,0.11562771797180176,0.010376132326017555,0.8468085106382979,0.029976601709798677,0.5345571017730906,0.054831398223073514,0.8,5.1842,2.0,0.0,600,3,2,0.08,0.8,1.0,False,,2.8052412986755377,0.8638297872340426
stage1,16,stage1_017,22,0.12423520088195801,0.009730254129397957,0.8468085106382979,0.025039579353063453,0.4515762633201431,0.0701671512949586,1.0,4.6658,1.0,0.05,600,1,4,0.1,0.2,1.0,False,,2.9294764995574956,0.8638297872340426
stage1,17,stage1_018,15,0.07734975814819336,0.011982366167040293,0.8542553191489362,0.03237260437170837,0.559639535998466,0.07249471238385051,0.9,4.6658,12.0,0.5,250,10,5,0.05,0.4,0.6,False,,3.006826257705689,0.8638297872340426
stage1,18,stage1_019,22,0.1501008987426758,0.012684885822628143,0.8468085106382979,0.023882919490046443,0.4850240334378265,0.03488961861382347,1.0,5.1842,3.0,0.05,450,10,4,0.08,0.1,1.0,False,,3.156927156448365,0.8638297872340426
stage1,19,stage1_020,27,0.1188586711883545,0.044858575445324934,0.8170212765957447,0.043160559095959145,0.5407778606446517,0.0704719115642305,0.8,5.1842,8.0,0.05,450,1,2,0.02,0.4,1.0,False,,3.2757858276367195,0.8638297872340426
stage1,20,stage1_021,26,0.07208356857299805,0.011191189453859192,0.8372340425531913,0.041146977884710015,0.5576679532622156,0.0703006449004327,0.6,5.7026,12.0,0.5,350,5,3,0.03,0.8,0.6,False,,3.3478693962097177,0.8638297872340426
stage1,21,stage1_022,21,0.11561999320983887,0.018458422277031403,0.848936170212766,0.025309313305043244,0.524766929979293,0.04662168817575538,0.6,4.6658,8.0,1.0,450,7,5,0.1,0.4,0.8,False,,3.4634893894195566,0.8638297872340426
stage1,22,stage1_023,17,0.12029561996459961,0.021534406198074278,0.8531914893617021,0.03184389265339525,0.5610519624980136,0.06803016685214218,0.7,6.4803,1.0,0.05,350,10,5,0.03,0.1,1.0,False,,3.5837850093841563,0.8638297872340426
stage1,23,stage1_024,6,0.3113090991973877,0.008393208920051302,0.8585106382978724,0.02597139492709298,0.5117596122573634,0.04898329401256234,0.8,5.1842,2.0,0.05,800,5,6,0.01,0.1,0.7,False,,3.895094108581544,0.8638297872340426
stage1,24,stage1_025,20,0.10254220962524414,0.010748814235883971,0.85,0.023404255319148956,0.5332366153148808,0.034132680944852126,0.6,6.4803,3.0,2.0,450,1,3,0.1,0.8,0.7,False,,3.997636318206788,0.8638297872340426
stage1,25,stage1_026,11,0.08297491073608398,0.012354321042397847,0.8553191489361703,0.034042553191489376,0.55043539196765,0.07314363179360933,0.9,3.8882,1.0,2.0,250,10,4,0.02,0.4,1.0,False,,4.080611228942872,0.8638297872340426
stage1,26,stage1_027,7,0.22830348014831542,0.011960293896990357,0.8574468085106384,0.0280254039836585,0.5026828246500156,0.06083475701981456,0.9,5.1842,2.0,1.0,450,2,6,0.01,0.2,0.5,False,,4.308914709091187,0.8638297872340426
stage1,27,stage1_028,18,0.10674633979797363,0.009161173042958923,0.851063829787234,0.023787957207444574,0.5113383220918354,0.052515864831645956,1.0,5.1842,1.0,0.01,600,10,6,0.05,0.8,0.6,False,,4.415661048889161,0.8638297872340426
stage2,0,stage2_001,1,0.2528125286102295,0.023963646991642266,0.8723404255319149,0.01932542779211165,0.5017183289523715,0.0527041735894963,0.63,3.8882,2.6,0.1,400,2,7,0.007,0.13,0.9,True,best_refit_accuracy,4.668473577499391,0.8723404255319149
stage2,1,stage2_002,12,0.2606810569763184,0.01629113732405868,0.8595744680851064,0.02553191489361701,0.5141489495685476,0.05310593296387289,0.9,4.4714,1.7,0.115,600,4,5,0.01,0.13,0.9,False,,4.92915463447571,0.8723404255319149
stage2,2,stage2_003,7,0.264492130279541,0.019228398569868896,0.8638297872340426,0.02661701277275912,0.5323669142175224,0.06111000852214223,0.63,4.4714,2.3,0.07,800,5,5,0.01,0.13,0.765,False,,5.1936467647552504,0.8723404255319149
stage2,3,stage2_004,7,0.2797101020812988,0.011257216980995332,0.8638297872340426,0.019207946899221038,0.5049217983708465,0.03847709019940013,0.765,3.8882,2.6,0.0,800,5,7,0.013,0.13,0.63,False,,5.473356866836549,0.8723404255319149
stage2,4,stage2_005,9,0.2143876552581787,0.011104000452207673,0.8617021276595744,0.0297111490292956,0.5395779097662327,0.07372116083919453,0.63,4.4714,1.4,0.0,600,2,4,0.0085,0.07,1.0,False,,5.687744522094728,0.8723404255319149
stage2,5,stage2_006,14,0.5154024124145508,0.04100581112565754,0.8531914893617021,0.018609420940995644,0.4233465060180885,0.04896261171759646,1.0,3.8882,2.3,0.0,800,1,7,0.013,0.13,0.765,False,,6.203146934509278,0.8723404255319149
stage2,6,stage2_007,3,0.3582277774810791,0.0270265454656934,0.8691489361702128,0.019500322106195088,0.5263349012079328,0.045100534077896944,0.765,3.8882,2.3,0.085,800,3,5,0.007,0.0,0.9,False,,6.561374711990357,0.8723404255319149
stage2,7,stage2_008,9,0.2575944423675537,0.021803387637525134,0.8617021276595744,0.027536551288393166,0.5175418826534445,0.06365371660450561,0.63,4.4714,2.0,0.085,500,4,7,0.0115,0.07,1.0,False,,6.8189691543579105,0.8723404255319149
stage2,8,stage2_009,3,0.37816128730773924,0.008605786597002776,0.8691489361702128,0.017350538755638405,0.47748185103600305,0.040661489779793954,0.765,3.305,1.4,0.1,600,1,6,0.0085,0.07,0.9,False,,7.197130441665649,0.8723404255319149
stage2,9,stage2_010,13,0.30737886428833006,0.018487633955055403,0.8595744680851063,0.011941459745023244,0.4830591338486075,0.03055257904125761,1.0,3.8882,2.6,0.115,800,4,6,0.0115,0.115,0.63,False,,7.504509305953979,0.8723404255319149
stage2,10,stage2_011,14,0.19268364906311036,0.021453246873823547,0.8531914893617021,0.030389057142735522,0.506082074952793,0.07142301277060299,0.765,4.4714,2.3,0.1,400,3,5,0.007,0.0,0.9,False,,7.69719295501709,0.8723404255319149
stage2,11,stage2_012,11,0.3618925094604492,0.02610024949703419,0.8606382978723405,0.03090604052411479,0.5249674981103553,0.06929788029512586,0.765,5.0547,2.3,0.0,700,2,5,0.007,0.115,0.9,False,,8.059085464477539,0.8723404255319149
stage2,12,stage2_013,6,0.30060582160949706,0.019662608209409644,0.8648936170212765,0.019788377912487526,0.5038025539648958,0.07154096271818106,0.765,3.8882,2.3,0.1,800,5,6,0.013,0.085,0.765,False,,8.359691286087036,0.8723404255319149
stage2,13,stage2_014,16,0.22366733551025392,0.011748723099721034,0.852127659574468,0.029017407865927353,0.514388192117269,0.07514467153049975,1.0,4.4714,2.0,0.07,600,5,5,0.0085,0.0,0.63,False,,8.58335862159729,0.8723404255319149
stage2,14,stage2_015,2,0.47878055572509765,0.012093411106577847,0.8702127659574469,0.015992868487630756,0.48351503353977376,0.03525028010150723,0.63,4.4714,2.0,0.1,800,1,8,0.0085,0.1,0.63,False,,9.062139177322388,0.8723404255319149
stage2,15,stage2_016,5,0.23377552032470703,0.022710517082162415,0.8648936170212768,0.02090093904722182,0.508652312599681,0.06334402397986111,0.765,3.8882,2.6,0.07,500,4,6,0.007,0.1,0.9,False,,9.295914697647095,0.8723404255319149
